student_id,first_name,last_name,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,answer_10,answer_11,answer_12,answer_13,answer_14,answer_15,answer_16,answer_17,answer_18,answer_19,answer_20,answer_21,answer_22,answer_23,answer_24,answer_25
32,Marcellus,Vittle,B,D,D,B,C,D,A,B,B,C,D,D,A,D,B,B,D,D,D,D,A,D,A,C,C
33,Adan,Cloke,B,A,B,B,D,C,C,C,D,A,C,A,B,D,A,C,D,D,C,A,B,C,B,C,B
34,Carver,Duggary,B,C,A,D,A,C,C,A,C,A,B,D,D,A,D,A,A,B,D,B,B,B,B,A,A
35,Raddy,Fassmann,A,C,A,D,B,A,C,C,C,C,B,B,D,C,D,D,C,C,A,C,D,B,D,B,B
36,Andrej,Mould,A,A,D,D,B,C,B,A,C,A,A,B,A,C,C,B,A,B,B,A,A,C,D,D,C
37,Silvan,Batchelour,A,D,B,A,D,A,C,D,D,D,A,A,B,B,A,A,C,D,D,A,D,A,B,C,C
38,Garwood,Hedau,A,D,D,D,B,D,B,D,D,A,D,B,C,D,A,D,C,D,B,A,D,D,A,A,A
39,Sylas,Hasslocher,A,C,B,C,A,C,B,A,C,D,D,D,D,C,B,C,B,C,D,D,A,A,D,B,C
40,Osbert,Francomb,B,B,A,B,A,A,D,D,B,A,A,A,B,B,D,C,C,B,A,B,C,C,D,B,A
41,Sonny,Buyers,B,B,C,C,B,A,D,A,D,B,D,D,C,A,B,B,D,A,B,B,B,B,D,B,A
42,Fonz,Fairnie,D,B,A,A,B,D,B,A,B,B,A,C,A,A,B,B,D,D,C,B,D,D,A,D,A
43,Bibbie,Troni,C,B,D,C,C,D,B,A,A,A,D,D,D,A,A,D,C,B,B,C,B,B,A,D,A
44,Mayer,Fairnie,D,B,D,D,A,D,A,B,A,D,D,C,B,C,D,D,C,D,D,A,C,C,A,D,A
45,Haroun,Paff,B,B,B,B,D,D,A,C,A,D,C,D,C,B,B,B,D,B,A,C,B,A,C,C,B
46,Jesse,McTrustrie,A,C,C,A,C,B,B,A,B,A,B,A,D,A,A,B,A,C,C,C,C,B,C,C,C
47,Griffith,Fillery,D,B,A,A,B,A,B,C,D,A,D,A,B,A,C,A,A,C,B,B,B,D,C,B,A
48,Sabrina,Illidge,B,B,D,B,C,C,C,D,C,C,D,B,B,A,A,B,C,A,D,C,C,C,C,D,D
49,Susi,Lambrick,C,B,C,A,B,C,C,A,C,C,A,A,A,D,C,B,A,A,A,B,B,B,C,A,A
50,Fannie,Caddies,A,B,D,D,D,A,C,C,A,D,A,A,C,D,D,B,B,D,B,B,C,A,C,D,C
51,Tiffy,Ashwell,A,C,C,A,C,C,B,C,B,A,B,A,C,D,D,D,B,C,A,C,D,B,B,B,D
52,Erwin,Kruger,A,B,A,B,B,D,A,D,D,D,B,B,D,D,D,B,D,C,B,D,A,C,B,A,D
53,Paulie,Prisk,A,B,D,B,C,C,B,B,A,D,A,A,D,A,A,D,C,A,D,A,D,A,D,A,B
54,Armando,Gudge,C,D,C,A,B,B,B,D,D,C,A,C,D,C,C,C,B,A,D,B,A,C,D,D,A
55,Harlin,Macquire,B,D,A,A,D,C,C,D,D,D,C,C,B,A,C,B,C,C,B,A,A,A,A,D,B
56,Conni,Probate,A,C,B,B,B,A,A,C,B,B,D,B,D,B,C,C,D,C,A,A,D,A,C,D,A
57,Clarinda,Lugard,A,C,A,A,B,B,C,D,B,D,C,C,B,D,B,D,D,D,D,B,D,D,D,B,D
58,Rosette,Camplejohn,D,B,C,A,C,A,B,B,B,A,A,B,A,D,B,B,A,A,D,B,D,C,D,C,D
59,Kenyon,Cuningham,D,C,B,D,C,C,D,C,A,C,B,D,D,D,A,C,D,C,B,D,C,C,B,D,D
60,Katya,Robke,A,D,A,B,A,D,C,C,C,A,A,D,D,C,D,B,D,D,C,A,C,C,C,A,B
61,Ralf,Fairholme,B,D,B,A,B,D,D,B,C,D,B,A,D,A,A,A,B,D,D,B,B,B,D,D,B
62,Archie,Wheeliker,C,A,B,D,B,B,D,A,D,D,B,B,C,D,A,D,A,D,B,C,C,A,B,B,A
63,Gael,St Quenin,D,C,B,B,D,C,D,B,C,B,C,B,C,A,B,B,C,D,B,A,D,A,C,A,A
64,Abraham,Zarfati,D,C,D,C,A,C,C,A,C,B,B,C,B,A,D,C,C,A,C,D,D,D,B,C,C
65,Shamus,Swadlen,A,B,A,C,A,C,C,A,A,B,D,C,D,C,D,C,D,C,C,A,D,D,D,D,B
66,Priscella,MacGinlay,B,D,D,A,A,D,D,B,B,B,D,D,B,A,B,A,A,A,A,A,C,B,D,B,B
67,Jeri,Juggings,B,C,C,C,B,A,C,D,D,D,C,B,B,C,C,D,C,C,D,C,A,C,B,B,C
68,Jefferson,Harefoot,C,A,D,A,B,B,D,A,A,C,A,C,D,A,B,A,A,B,C,B,A,A,A,D,A
69,Carry,Gonnelly,D,B,C,C,A,C,C,C,A,C,A,D,B,C,D,D,A,B,D,C,B,D,B,A,B
70,Emmalee,Kondratenya,D,A,C,B,A,D,B,A,B,C,D,D,C,A,A,C,B,B,A,B,D,D,C,C,B
71,Walliw,Bumphrey,B,D,C,B,A,A,C,A,D,C,C,C,B,B,D,A,C,C,C,C,C,B,D,C,D
72,Rozalin,O'Spillane,C,D,D,B,A,C,A,B,B,C,D,D,A,A,A,C,A,C,C,B,D,D,A,B,B
73,Odessa,Clymo,C,A,D,B,D,C,C,B,A,A,A,D,D,B,D,B,C,A,B,C,D,A,B,D,A
74,Alister,Tukesby,B,C,C,A,A,A,D,B,C,D,C,B,B,A,D,B,A,A,B,C,D,A,B,B,B
75,Olly,Currm,B,A,B,C,C,C,C,D,B,B,C,B,D,A,C,D,B,C,C,B,C,D,B,B,C
76,Ruddie,Leaning,D,A,B,B,B,C,B,B,C,D,D,B,C,C,B,A,D,A,B,A,D,B,B,D,A
77,Terrie,Baudin,A,D,C,B,B,B,C,A,C,B,B,C,B,B,C,A,B,B,C,B,A,D,B,A,A
78,Rosita,Libbis,D,D,B,D,C,B,A,D,D,A,A,D,D,C,C,C,A,A,C,A,D,B,C,B,D
79,Claiborn,Enderlein,A,A,C,B,A,B,C,A,D,A,D,C,C,A,A,C,B,D,D,B,D,B,C,B,A
80,Laryssa,Brendel,C,B,A,A,B,A,B,D,A,A,B,D,C,A,C,C,C,B,D,C,A,C,D,B,B
81,Amil,Kendrick,A,A,A,D,A,A,C,B,B,C,C,A,A,B,B,D,B,D,A,C,B,D,D,A,B
82,Pansy,Caesman,D,D,B,C,D,B,A,D,C,B,B,C,D,D,D,C,B,A,A,B,D,C,B,C,A
83,Teena,Bedinn,B,B,B,D,D,C,A,A,C,A,A,B,A,B,A,A,B,A,A,C,B,A,A,A,D
84,Brenn,Newbigging,A,A,B,A,B,B,D,B,D,B,C,A,B,D,C,B,A,B,D,B,A,B,D,C,B
85,Jacquenetta,Domoney,C,D,B,C,D,B,C,D,D,B,C,C,A,C,D,B,B,A,A,A,C,A,D,C,C
86,Randell,Bengtsson,B,D,D,A,D,C,D,D,B,A,B,C,C,D,D,A,A,A,D,B,A,A,D,B,A
87,West,Doughton,D,B,C,C,C,C,C,B,A,C,B,C,D,B,B,A,D,D,D,C,C,A,A,A,D
88,Melisse,Schieferstein,B,D,C,B,A,A,D,A,D,D,D,D,D,A,B,C,C,A,B,D,B,B,D,C,A
89,Kaitlyn,Murrison,A,B,D,C,D,B,C,D,C,B,D,D,D,C,C,C,C,B,C,C,D,C,D,B,D
90,Tabitha,Rodger,C,A,D,B,C,A,C,B,A,D,C,D,B,D,D,D,D,A,A,B,D,D,A,C,B
91,Bessie,Betjes,B,A,D,A,A,C,B,C,C,C,B,C,B,B,C,A,C,C,A,C,B,B,C,B,C
92,Merrie,Prinnett,D,D,D,D,B,D,D,D,B,B,B,B,C,B,D,B,B,D,A,C,A,C,B,B,D
93,Dylan,Knox,B,A,A,D,D,A,D,A,A,D,C,B,A,B,D,A,A,B,A,C,B,D,A,C,B
94,Suzette,De Domenico,B,C,D,C,D,B,C,C,D,C,A,D,A,C,B,A,A,C,B,C,B,B,C,B,B
95,Viola,Costell,A,D,C,D,A,C,C,B,D,C,A,C,A,A,C,A,D,C,A,A,A,C,D,D,B
96,Dulciana,Viggars,C,C,A,B,D,A,A,A,C,B,B,D,C,B,B,D,D,B,A,C,A,D,A,B,B
97,Kele,Vella,A,C,D,C,B,B,C,C,C,C,D,B,C,B,B,A,D,C,B,B,B,B,C,B,D
98,Verena,Umfrey,D,D,B,C,D,B,D,C,C,A,A,B,B,D,B,B,C,B,C,A,A,B,D,B,A
99,Josi,Dunphie,B,D,D,D,B,A,D,B,C,D,C,B,C,D,C,C,A,D,B,D,D,B,D,D,A
100,Alaine,Hammatt,A,C,A,B,A,A,A,D,D,C,C,C,A,B,B,C,B,C,A,C,D,C,D,D,B
